,ID,Fuzzy Full Name,age,state
0,561,jack,59,vic
1,2642,mitchell mason,85,nsw
2,608,mitchell white,62,vic
3,3239,elki menzies,26,vic
4,2886,garanggar,32,vic
5,4285,sophie manson,73,vic
6,929,madison morrison,76,wa
7,4833,william millar,90,vic
8,717,joshua raward,76,qld
9,3984,david sette,29,wa
10,3138,jacob delfos,73,other
11,1424,braiden hering,100,nsw
12,825,mia white,111,nsw
13,520,nicholas mcneill,44,nsw
14,3868,jassim rybak,40,vic
15,147,cassandra lock,87,nsw
16,919,liam kayvas,27,nsw
17,3156,adam ewald,106,nsw
18,1026,lochlan weaver,25,nsw
19,3272,zara white,92,wa
20,4342,luke grubb,90,nsw
21,4788,shanaye averats,90,qld
22,3978,babic,79,sa
23,2440,amy green,34,other
24,4517,isabella waller,74,vic
25,4595,samuel rudd,66,sa
26,316,jordan white,35,vic
27,1413,brielle spears,35,wa
28,470,harry bishop,46,wa
29,2871,noah fusco,75,nsw
30,4096,stella plumb,122,wa
31,567,giaan sribar,73,sa
32,3089,annabel thorpe,32,vic
33,4233,joshua dixon,76,nsw
34,3874,jacob webb,79,nsw
35,1168,isabella jessup,91,nsw
36,4618,chloe musolino,76,other
37,2896,blake de courcey,35,qld
38,3044,nicholas mycko,79,qld
39,2852,joshua huxley,110,nsw
40,1492,macormack campbell,60,qld
41,1108,lachlan murton,47,nsw
42,2621,casey hearn,85,sa
43,2867,katelyn satterley,51,nsw
44,2979,caleb dabinet,120,qld
45,4466,aidan white,51,vic
46,4903,hannah mihal,76,vic
47,1445,paige webb,90,vic
48,2854,nathan bishop,28,vic
49,4281,sara carmody,41,wa
50,1831,mia reid,44,vic
51,172,adam craze,97,wa
52,2239,makenzi weller,74,wa
53,2873,rhys horsley,117,nsw
54,3040,zane webb,105,vic
55,1015,brianna zilm,77,other
56,2154,ava,118,vic
57,4799,molly hanna,107,vic
58,3528,lauren gibb,115,nsw
59,2434,ebert,93,nsw
60,4382,cambell coleman,51,other
61,2786,imogen lamprey,84,nsw
62,2685,joel lodge,53,wa
63,3436,joel marson,114,vic
64,4668,elton coldicutt,90,vic
65,3570,jaxson selth,111,qld
66,490,crystal webb,44,vic
67,3777,lachlan ricard,71,sa
68,4113,sophie au,76,vic
69,4592,elizabeth noble,42,vic
70,4070,hamish chandler,37,other
71,4862,matthew walls,96,nsw
72,629,william lund,103,qld
73,2447,mattheo godfrey,43,vic
74,2694,ebony piniros,121,nsw
75,3899,noah berry,100,sa
76,4878,lowry,89,qld
77,1503,jasmine ryan,108,nsw
78,4831,caleb thorpe,65,nsw
79,888,caitlin berry,46,sa
80,3917,angelina lowry,89,qld
81,2713,benjamin morrison,48,other
82,3390,isaac hoffman,79,vic
83,109,daniel fysh,62,nsw
84,4162,mollie sherriff,119,qld
85,1226,seth moody,97,vic
86,2175,brianna wardle,80,nsw
87,2820,millie neville,29,nsw
88,4051,luke mccarthy,72,nsw
89,4486,isabelle ryan,36,other
90,3316,sophie coulson,55,nsw
91,687,brodie green,55,nsw
92,1552,daniel callahan,71,nsw
93,802,mya mccarthy,112,nsw
94,1880,liam coenen,55,qld
95,2306,zali white,122,wa
96,394,lachlan ryan,76,qld
97,2963,fyynlay deblasio,108,nsw
98,4451,jairus scamoni,112,qld
99,8,nicholas procter,121,nsw
100,2543,mia white,60,nsw
101,1340,spencer klus,122,vic
102,1582,hannah rivers,72,nsw
103,3311,coby brinsmead,85,qld
104,4549,mitchell stanley,99,qld
105,3292,mikayla siviour,39,vic
106,1655,lily innis,36,qld
107,3575,harrison coulson,94,vic
108,278,samuel gilbertson,66,qld
109,649,mia haeusler,115,other
110,3088,sachin,42,vic
111,4091,cheyenne campbell,116,vic
112,903,brianna barisic,49,vic
113,536,aleisha lowe,51,wa
114,497,emiily cobbin,25,wa
115,2100,talia millar,44,wa
116,597,aidan leslie,53,qld
117,891,eboni timperon,71,nsw
118,3783,alannah newport,84,qld
119,2190,dimitri kowald,73,sa
120,424,nicholas george,87,nsw
121,4620,flynn zilm,74,vic
122,2353,benjamin bellon,112,nsw
123,3336,jacob crossman,56,other
124,3004,zachary hulands,88,other
125,1270,elle matthews,28,vic
126,2798,kane carbone,28,sa
127,304,zoe wastell,26,vic
128,1905,arren matthews,38,nsw
129,4874,silas coulson,47,nsw
130,3974,carly webb,112,wa
131,603,ebony zaffino,82,qld
132,821,chloe condo,107,nsw
133,54,imogen whillas,115,other
134,4274,marleigh white,34,qld
135,4277,mitchell flannery,66,vic
136,4463,isabella,80,qld
137,3,reeve stanley,105,sa
138,4747,roberta caire,61,sa
139,1195,jessica blackwell,44,sa
140,585,danny stephenson,41,other
